Feature_Group,Mean_AUC,Std_AUC,Mean_Balanced_Acc,Std_Balanced_Acc,Mean_MCC,Std_MCC,N_Features
Temporal,0.5732517482517483,0.08869808065915692,0.5445464257964258,0.09000433720122435,0.08028684215602752,0.16393074396671203,6
Energy,0.5380633255633256,0.06024686111844557,0.5216224747474747,0.06581508595879142,0.03971319059239912,0.12046496659380675,4
Spectral,0.6224164724164724,0.09323703174389926,0.6140612859362861,0.08175131445269375,0.20797453204217914,0.14904224032109495,10
F0,0.5930944055944056,0.0897090912585837,0.5785353535353536,0.06975044433659827,0.14345507234241708,0.12683876013812478,5
MFCC,0.5753545066045065,0.09560130570129668,0.54626554001554,0.06756986442310307,0.09116179280111782,0.1365947467989855,140
Temporal+Spectral,0.6331633644133646,0.09433799562075132,0.6221129564879566,0.09976606396755444,0.22396948298370975,0.18256105298084155,16
Temporal+Spectral+F0,0.6366647241647241,0.0950794871833004,0.6169847513597515,0.08534939371811252,0.215509372610486,0.15726117417132923,21
All Features,0.6094794094794094,0.0902117251731073,0.5358391608391607,0.08591137149598928,0.06922873993652233,0.1715300381334859,164
PCA-reduced,0.6115433177933177,0.08906004579083497,0.6180409867909868,0.06576612341990785,0.2173404983477981,0.12173989401752713,10
