Feature,Mean_Importance
mfcc_15_max,0.9687898562982398
mfcc_18_median,0.7800538717635481
silence_percent,0.6227139268270254
mfcc_09_max,0.6122438640433898
mfcc_20_std,0.5884363166556045
mfcc_08_min,0.5304990075884378
mfcc_02_max,0.5270844527469942
duration_sec,0.5264888805940481
mfcc_02_mean,0.49359135226129114
mfcc_13_median,0.4785374472658942
mfcc_19_min,0.4758357246537163
mfcc_11_max,0.47176718912967575
mfcc_15_std,0.4471547552868008
mfcc_08_std,0.4355595241606659
mfcc_02_p10,0.43314160552737047
vocalization_rate_per_min,0.4205329284283049
spectral_flatness_mean,0.40633441904403667
mfcc_02_median,0.40154761884513607
mfcc_01_max,0.38780222581486345
mfcc_17_p90,0.3705015005802818
f0_mean,0.3704403569954276
mfcc_07_std,0.3586494170212814
mfcc_10_max,0.35252028049083123
mfcc_11_std,0.3492145106863195
mfcc_14_std,0.347809649059561
mfcc_17_max,0.3403263905483885
mfcc_14_p90,0.32877187096874505
mfcc_03_median,0.3271477142744326
mfcc_18_min,0.3117158303239077
rms_max,0.31073181309752135
